ric,issuer,underlying,date,spot,sigma,mkt_px,model_px,cheap_pct,engine
JP226707964=,Relo Group,8876.T,2025-06-20,1699.0,0.3510907847371089,95.75,89.46443360798175,-6.564560200541257,Tree
JP226707964=,Relo Group,8876.T,2025-06-23,1713.0,0.3516649802733511,95.875,89.58317602316323,-6.56252826788711,Tree
JP226707964=,Relo Group,8876.T,2025-06-24,1718.0,0.3513547325520468,95.875,89.61443818274999,-6.529921061016957,Tree
JP226707964=,Relo Group,8876.T,2025-06-25,1721.5,0.3491278949688208,95.875,89.59858693141793,-6.5464543088209375,Tree
JP226707964=,Relo Group,8876.T,2025-06-26,1735.5,0.34540686230618645,95.875,89.61014080935865,-6.534403327917962,Tree
JP226707964=,Relo Group,8876.T,2025-06-27,1725.0,0.3455310255913203,95.875,89.56470047661452,-6.581798720610671,Tree
JP226707964=,Relo Group,8876.T,2025-06-30,1708.5,0.34514821898804304,95.875,89.49578449085936,-6.653679800928955,Tree
JP226707964=,Relo Group,8876.T,2025-07-01,1656.0,0.3494931774139648,95.75,89.11469840636562,-6.92981889674609,Tree
JP226707964=,Relo Group,8876.T,2025-07-02,1677.5,0.3487622711230488,95.75,89.41747513574704,-6.613602991386903,Tree
JP226707964=,Relo Group,8876.T,2025-07-03,1677.0,0.32938601236968446,95.75,88.90040633569318,-7.15362262590791,Tree
JP226707964=,Relo Group,8876.T,2025-07-04,1679.0,0.3163785656318795,95.75,88.70645185018607,-7.356186057246925,Tree
JP226707964=,Relo Group,8876.T,2025-07-07,1679.5,0.31363755623239,95.75,88.696708295668,-7.366362093297124,Tree
JP226707964=,Relo Group,8876.T,2025-07-08,1685.0,0.2881520314008857,95.75,88.20778011800525,-7.876992043858751,Tree
JP226707964=,Relo Group,8876.T,2025-07-09,1684.0,0.28708178665296513,95.75,88.20259007952208,-7.882412449585292,Tree
JP226707964=,Relo Group,8876.T,2025-07-10,1685.5,0.2868629290486526,95.75,88.21644411541025,-7.867943482600256,Tree
JP226707964=,Relo Group,8876.T,2025-07-11,1700.5,0.2872035853644562,95.75,88.27960665764597,-7.801977381048594,Tree
JP226707964=,Relo Group,8876.T,2025-07-14,1702.0,0.28713951075938604,95.75,88.31962872877402,-7.76017887334306,Tree
JP226707964=,Relo Group,8876.T,2025-07-15,1689.5,0.28267164666869976,95.75,88.23376555033741,-7.849853211135866,Tree
JP226707964=,Relo Group,8876.T,2025-07-16,1710.0,0.27544776160421575,95.75,88.21260773250481,-7.871950148820045,Tree
JP226707964=,Relo Group,8876.T,2025-07-17,1723.5,0.27603684292814423,95.75,88.27405258317025,-7.807777981023242,Tree
JP226707964=,Relo Group,8876.T,2025-07-18,1721.0,0.2760339398825383,95.75,88.27846026260012,-7.803174660469849,Tree
JP226707964=,Relo Group,8876.T,2025-07-21,1721.0,0.2760339398825383,95.75,88.31480394688485,-7.765217810041931,Tree
JP226707964=,Relo Group,8876.T,2025-07-22,1704.5,0.2765352624893318,95.75,88.283071426799,-7.798358823186426,Tree
JP226707964=,Relo Group,8876.T,2025-07-23,1731.5,0.27775974621090505,95.875,88.39429914293041,-7.80255630463582,Tree
JP226707964=,Relo Group,8876.T,2025-07-24,1737.5,0.2777800272427269,95.875,88.42504803729011,-7.770484446112009,Tree
JP226707964=,Relo Group,8876.T,2025-07-25,1732.0,0.277813528464185,96.4375,88.4207242541794,-8.312923650883313,Tree
JP226707964=,Relo Group,8876.T,2025-07-28,1719.5,0.2733605948247011,96.4375,88.3592567218266,-8.376661856822713,Tree
JP226707964=,Relo Group,8876.T,2025-07-29,1725.0,0.27352371296813394,96.4375,88.39032976969347,-8.344440938749486,Tree
JP226707964=,Relo Group,8876.T,2025-07-30,1753.5,0.2658937037557905,96.5625,88.38632944393466,-8.467231643821716,Tree
JP226707964=,Relo Group,8876.T,2025-07-31,1743.0,0.2657307580247702,96.5625,88.24518108611589,-8.613404700462507,Tree
JP226707964=,Relo Group,8876.T,2025-08-01,1763.0,0.267047898091619,96.6875,88.45498769595362,-8.514557004831422,Tree
JP226707964=,Relo Group,8876.T,2025-08-04,1766.0,0.15450160090397103,96.6875,87.31428066179565,-9.694344499758863,Tree
JP226707964=,Relo Group,8876.T,2025-08-05,1766.5,0.15343016297273648,96.6875,87.31445606246598,-9.694163089886512,Tree
JP226707964=,Relo Group,8876.T,2025-08-06,1784.0,0.1543059172366098,96.6875,87.3474323726693,-9.660057015985208,Tree
JP226707964=,Relo Group,8876.T,2025-08-07,1803.5,0.15482365009425797,96.8125,87.3671531680596,-9.75632984577446,Tree
