issuer,ric,underlying,rating,spread_bp,reset_flag,maturity,spot,sigma,conv_px,parity,mkt_px,model_px,model_tree_px,model_mc_px,model_engine,reset_prob,bond_floor,cheap_pct,premium_pct,iv,iv_minus_hv_pct,delta,gamma,vega,theta,rho,anomaly_flags,confidence
Rohm,JP279962206=,6963.T,A+,70,,2031-04-24,3398.0,0.6176736668731609,2943.0,115.46041454298334,131.5,149.4826441207309,149.4826441207309,,Tree,,87.89303890462035,13.675014540479768,13.891848145968222,0.37008590698242183,-24.75877598907391,0.025836258998024372,4.827963466397801e-07,0.6829898419854032,-0.004990530590703202,-0.03017469444327503,,High
Advantest,JP330437685=,6857.T,A+,70,,2031-03-28,28260.0,0.738549081778893,36000.0,78.5,121.45,131.72365396132176,131.72365396132176,,Tree,,88.10627962745252,8.459163409898522,54.71337579617834,0.5564468383789063,-18.21022433999867,0.002162744982907344,-7.702532995751057e-10,0.5231592130406852,-0.005502663591016699,-0.035220542774311525,,High
HEPCO,JP325149639=,9509.T,a-1,90,,2031-03-03,1010.5,0.42757856405775596,1353.0,74.68588322246859,104.375,107.89965253806898,107.89965253806898,,Tree,,87.45165975284291,3.3769126113235717,39.7519792182088,0.36583786010742186,-6.17407039503341,0.036613020055747354,9.297804907271784e-06,0.5704159077164803,-0.0009138982122181005,-0.02463160473912751,,High
Hosiden,JP295253037=,6804.T,A-,120,,2031-12-19,2772.0,0.34327748150545295,2770.0,100.07220216606498,113.75,116.85298147848621,116.85298147848621,,Tree,,83.38317346705236,2.7278958052626057,13.667929292929292,0.30213928222656256,-4.11381992788904,0.026314156428388195,-3.536531379575156e-05,0.742260029885415,-0.0004553778714182499,-0.021072090906443464,,High
Nikkon Holdings,JP294960325=,9072.T,a-1,90,,2031-12-12,5083.0,0.582018511926419,2090.0,243.20574162679426,250.5,257.24470761552345,257.24470761552345,,Tree,,84.87258390772033,2.6924980501091627,2.9992130631516796,0.4904693603515625,-9.154915157485643,0.043137746015090205,1.1753786149789387e-05,0.7923482458459148,-0.005443373335197066,-0.018721593611871867,PRICE>200,Low
JVCKENWOOD,JP322459319=,6632.T,A-,120,,2030-12-02,1183.0,0.43551498891885,1892.5,62.50990752972259,99.375,101.44514875336482,101.44514875336482,,Tree,,86.99126211932163,2.0831685568451013,58.97479923922232,0.39599456787109377,-3.9520421047756216,0.025814828347600193,0.00021415000506852318,0.5148527081758374,0.0005977248511754851,-0.03225181502668306,,High
OSG Corp,JP273021329=,6136.T,A,90,,2030-12-20,3268.0,0.31695288939908,2096.0,155.91603053435117,156.625,159.00160484329913,159.00160484329913,,Tree,,88.05157555762261,1.5173853748118973,0.4547123623010886,0.26514587402343753,-5.180701537564247,0.04291671528017527,7.25847949992176e-05,0.5555152455827681,-0.0015764223471137484,-0.008755667936299005,,High
Mizuno,JP329568903=,8022.T,WR,429,RESET,2031-03-31,3310.0,0.40682583212032297,4981.0,66.45251957438266,98.75,100.23581649428729,91.58883442988298,100.23581649428729,MC,0.86,73.78353434691196,1.5046242980124473,48.602341389728075,0.5476852416992187,14.085940957889576,0.01035090688529947,1.515980805408335e-06,0.5099015449385575,0.00525693947102468,-0.02625860158131843,,High
ANA,JP241370844=,9202.T,A,90,,2031-12-10,2601.5,0.291260662433558,2883.0,90.23586541796739,107.25,107.92640315117606,107.92640315117606,,Tree,,84.89150847850672,0.6306789288354877,18.855179704016923,0.2803237915039063,-1.0936870929651732,0.01919420685511895,-7.98440281851937e-05,0.7016621476261804,-7.296384472965656e-05,-0.020815703923830142,,High
Nippon Steel,JP329882250=,5401.T,a-1,90,,2031-02-14,572.3,0.305435454943235,737.0,77.65264586160107,102.25,102.3668981051911,102.3668981051911,,Tree,,87.59187632896092,0.11432577524801717,31.67613139961561,0.30306854248046877,-0.2366912462766213,0.044757761025995074,9.025117512025852e-05,0.4858712739882236,0.0009721664561794796,-0.02060124321820922,,High
Kansai Paint,JP277142333=,4613.T,a-1,90,,2031-03-07,2342.5,0.264221083693324,2771.0,84.53626849512811,103.125,100.16829498008138,100.16829498008138,,Tree,,87.41862308482732,-2.8671078981029,21.989060832443972,0.3092193603515625,4.499827665823853,0.016996716326578017,5.506024257179881e-06,0.6466648800612376,0.002166644395174444,-0.029054292518793545,,High
Kobe Steel,JP272792062=,5406.T,A,90,,2030-12-13,1926.5,0.316671123852637,2349.5,81.99616939774421,107.625,101.02017018039528,101.02017018039528,,Tree,,88.10879901698921,-6.136891818448053,31.256131585777304,0.4276779174804688,11.100679362783177,0.019503905200564067,1.92164671791183e-05,0.594054237743336,0.002246270972335651,-0.029476142716262643,,High
